#,Rule Type,Template Correct Phrase,Template Error Phrase,Correct Phrase Syntactic Tags,Error Phrase Syntactic Tags,Requisite Syntactic Tags,Inserted,Modified,Preserved,Substituted,Deleted,
token35,Token,"へ,行く","は,行く","助詞,格助詞,*,*,へ,動詞,自立,五段・カ行促音便,基本形,行く","助詞,格助詞,*,*,は,動詞,自立,五段・カ行促音便,基本形,行く","1,1,-1,-1,1,1,1,0,0,0",[0],[],"[[1, 1]]",[],[0],
token36,Token,"の,本,は,安い","は,安い,本","助詞,連体化,*,*,の,名詞,一般,*,*,本,助詞,係助詞,*,*,は,形容詞,自立,形容詞・アウオ段,基本形,安い","助詞,係助詞,*,*,は,形容詞,自立,形容詞・アウオ段,基本形,安い,名詞,一般,*,*,本","1,1,-1,-1,1,1,0,-1,-1,0,1,1,-1,-1,1,1,0,0,1,0",[],[],"[[0, 2], [1, 3], [2, 1]]",[],[0],
token37,Token,"の,中,に","の,中,で","助詞,連体化,*,*,の,名詞,非自立,*,*,中,助詞,格助詞,*,*,に","助詞,連体化,*,*,の,名詞,非自立,*,*,中,助詞,格助詞,*,*,で","1,1,-1,-1,0,1,0,0,0,0,1,0,-1,-1,1",[2],[],"[[0, 0], [1, 1]]",[],[2],
token38,Token,"の,広,さ","の,広い","助詞,連体化,*,*,の,形容詞,自立,形容詞・アウオ段,ガル接続,広い,名詞,接尾,*,*,さ","助詞,格助詞,*,*,の,形容詞,自立,形容詞・アウオ段,基本形,広い","1,1,-1,-1,1,1,0,0,1,0,1,1,-1,-1,1",[],"[[1, 1]]","[[0, 0]]",[],[2],
token39,Token,"する,です","し,ます,です","動詞,自立,サ変・スル,基本形,する,助動詞,*,特殊・デス,基本形,です","動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・マス,基本形,ます,助動詞,*,特殊・デス,基本形,です","1,0,0,1,0,1,0,1,0,1",[1],"[[0, 0]]","[[2, 1]]",[],[],
token40,Token,"する,と,言う","し,ます,と,言う","動詞,自立,サ変・スル,基本形,する,助詞,格助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,言う","動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・マス,基本形,ます,助詞,格助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,言う","1,0,0,1,0,1,1,-1,-1,1,1,0,0,0,0",[1],"[[0, 0]]","[[2, 1], [3, 2]]",[],[],
token41,Token,"する,こと,が","する,が","動詞,自立,サ変・スル,基本形,する,名詞,非自立,*,*,こと,助詞,格助詞,*,*,が","動詞,自立,サ変・スル,基本形,する,助詞,接続助詞,*,*,が","1,0,0,0,0,1,1,-1,-1,1,0,0,-1,-1,1",[],[],"[[0, 0], [1, 2]]",[],[1],
token42,Token,"さ,せ,て,いただく","し,て,いただく","動詞,自立,サ変・スル,未然レル接続,する,動詞,接尾,一段,連用形,せる,助詞,接続助詞,*,*,て,動詞,非自立,五段・カ行イ音便,基本形,いただく","動詞,自立,サ変・スル,連用形,する,助詞,接続助詞,*,*,て,動詞,非自立,五段・カ行イ音便,基本形,いただく","1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0",[0],[],"[[1, 2], [2, 3]]",[],"[0, 1]",
token43,Token,"し,た,ん,だ","し,た,ん,でし,た","動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・タ,基本形,た,名詞,非自立,*,*,ん,助動詞,*,特殊・ダ,基本形,だ","動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・タ,基本形,た,名詞,非自立,*,*,ん,助動詞,*,特殊・デス,連用形,です,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1","[3, 4]",[],"[[0, 0], [1, 1], [2, 2]]",[],[3],
token44,Token,"し,た,ん,です","し,た,ん,でし,た","動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・タ,基本形,た,名詞,非自立,*,*,ん,助動詞,*,特殊・デス,基本形,です","動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・タ,基本形,た,名詞,非自立,*,*,ん,助動詞,*,特殊・デス,連用形,です,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1","[3, 4]",[],"[[0, 0], [1, 1], [2, 2]]",[],[3],
token45,Token,"し,ませ,ん,でし,た","し,なかっ,た,でし,た","動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・マス,未然形,ます,助動詞,*,不変化型,基本形,ん,助動詞,*,特殊・デス,連用形,です,助動詞,*,特殊・タ,基本形,た","動詞,自立,サ変・スル,未然形,する,助動詞,*,特殊・ナイ,連用タ接続,ない,助動詞,*,特殊・タ,基本形,た,助動詞,*,特殊・デス,連用形,です,助動詞,*,特殊・タ,基本形,た","1,0,0,0,0,1,-1,0,0,1,1,-1,0,0,1,1,-1,0,0,1,0,0,0,0,1","[1, 2]",[],"[[0, 0], [3, 3], [4, 4]]",[],"[1, 2]",
token46,Token,"いる,です","い,て,です","動詞,自立,一段,基本形,いる,助動詞,*,特殊・デス,基本形,です","動詞,自立,一段,連用形,いる,助詞,接続助詞,*,*,て,助動詞,*,特殊・デス,基本形,です","1,0,0,1,0,1,-1,1,0,1",[1],"[[0, 0]]","[[2, 1]]",[],[],
token47,Token,"変える,前","変え,て,前","動詞,自立,一段,基本形,変える,名詞,副詞可能,*,*,前","動詞,自立,一段,連用形,変える,助詞,接続助詞,*,*,て,名詞,副詞可能,*,*,前","1,0,0,1,0,1,1,-1,-1,0",[1],"[[0, 0]]","[[2, 1]]",[],[],
token48,Token,"変える,前","変え,た,前","動詞,自立,一段,基本形,変える,名詞,副詞可能,*,*,前","動詞,自立,一段,連用形,変える,助動詞,*,特殊・タ,基本形,た,名詞,副詞可能,*,*,前","1,0,0,1,0,1,1,-1,-1,0",[1],"[[0, 0]]","[[2, 1]]",[],[],
token49,Token,"見る,こと,だ","見る,だ","動詞,自立,一段,基本形,見る,名詞,非自立,*,*,こと,助動詞,*,特殊・ダ,基本形,だ","動詞,自立,一段,基本形,見る,助動詞,*,特殊・ダ,基本形,だ","1,0,0,1,0,1,1,-1,-1,1,1,-1,1,1,1",[],[],"[[0, 0], [1, 2]]",[],[1],
